"","gameId","quarter","playId","playDescription","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain","average_temperature","StadiumName","RoofType","TimeMeasure","TimeStartGame","TimeEndGame","real_WindSpeed","condition"
"1",2018090600,1,658,"(5:03) M.Bryant 21 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.","ATL",0,1,27091,"05:03:00",21,0,0,0,3003,79.52,"Lincoln Financial Field","Outdoor","9/6/2018 20:00","9/6/2018 20:20","9/6/2018 23:39",16.09,0
"2",2018090600,2,1368,"(6:12) J.Elliott 26 yard field goal is GOOD, Center-R.Lovato, Holder-C.Johnston.","PHI",1,1,44966,"06:12:00",26,0,3,-3,2172,79.52,"Lincoln Financial Field","Outdoor","9/6/2018 21:00","9/6/2018 20:20","9/6/2018 23:39",9.2,1
"3",2018090600,2,1587,"(2:13) M.Bryant 52 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.","ATL",0,1,27091,"02:13:00",52,3,3,0,1933,79.52,"Lincoln Financial Field","Outdoor","9/6/2018 21:00","9/6/2018 20:20","9/6/2018 23:39",9.2,1
"4",2018090900,2,1973,"(4:20) (Field Goal formation) J.Tucker 39 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.","BAL",1,1,39470,"04:20:00",39,17,0,17,2060,62.96,"M&T Bank Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:21",19.7,1
"5",2018090900,2,1226,"(13:18) (Field Goal formation) J.Tucker 41 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.","BAL",1,1,39470,"13:18:00",41,14,0,14,2598,62.96,"M&T Bank Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:21",19.7,1
"6",2018090900,2,1613,"(8:48) (Field Goal formation) S.Hauschka 52 yard field goal is No Good, Short, Center-R.Ferguson, Holder-C.Bojorquez.","BUF",0,0,33469,"08:48:00",52,17,0,17,2328,62.96,"M&T Bank Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:21",19.7,1
"7",2018090900,3,3461,"(2:42) (Field Goal formation) S.Hauschka 35 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez. Penalty on BAL-A.Levine, Defensive Offside, declined.","BUF",0,1,33469,"02:42:00",35,40,0,40,1062,62.96,"M&T Bank Stadium","Outdoor","9/9/2018 15:00","9/9/2018 13:00","9/9/2018 16:21",13.86,2
"8",2018090901,5,5191,"(1:47) C.Boswell 42 yard field goal is No Good, Wide Left, Center-K.Canaday, Holder-J.Berry.","PIT",0,0,41953,"01:47:00",42,21,21,0,-107,60.68,"FirstEnergy Stadium","Outdoor","9/9/2018 17:00","9/9/2018 13:00","9/9/2018 16:54",11.43,1
"9",2018090901,5,5480,"(:13) Z.Gonzalez 43 yard field goal is BLOCKED (T.Watt), Center-C.Hughlett, Holder-B.Colquitt.","CLE",1,0,45037,"00:13:00",NA,21,21,0,-13,60.68,"FirstEnergy Stadium","Outdoor","9/9/2018 17:00","9/9/2018 13:00","9/9/2018 16:54",11.43,1
"10",2018090902,1,757,"(1:27) A.Vinatieri 21 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.","IND",1,1,21213,"01:27:00",21,0,3,-3,2787,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 16:04",11.43,0
"11",2018090902,1,394,"(8:25) R.Bullock 42 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.","CIN",0,1,38691,"08:25:00",42,0,0,0,3205,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 16:04",11.43,0
"12",2018090902,2,2084,"(:06) A.Vinatieri 51 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.","IND",1,1,21213,"00:06:00",51,13,10,3,1806,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:04",12.74,0
"13",2018090902,2,1574,"(3:06) A.Vinatieri 38 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.","IND",1,1,21213,"03:06:00",38,10,3,7,1986,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:04",12.74,0
"14",2018090902,3,3135,"(:17) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Rhodes, Holder-R.Sanchez.","IND",1,0,21213,"00:17:00",55,23,17,6,917,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 15:00","9/9/2018 13:00","9/9/2018 16:04",13.86,0
"15",2018090902,4,3873,"(4:01) R.Bullock 39 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.","CIN",0,1,38691,"04:01:00",39,23,24,-1,241,59.84,"Lucas Oil Stadium","Retractable","9/9/2018 16:00","9/9/2018 13:00","9/9/2018 16:04",16.09,0
"16",2018090903,1,240,"(10:22) (Field Goal formation) R.Succop 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.","TEN",0,1,34707,"10:22:00",47,0,0,0,3322,82.5542857142857,"Hard Rock Stadium","Outdoor","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 20:08",6.96,0
"17",2018090903,3,2661,"(4:09) (Field Goal formation) J.Sanders 27 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.","MIA",1,1,46298,"04:09:00",27,7,3,4,1149,82.5542857142857,"Hard Rock Stadium","Outdoor","9/9/2018 15:00","9/9/2018 13:00","9/9/2018 20:08",9.2,0
"18",2018090903,4,3690,"(3:53) (Field Goal formation) J.Sanders 30 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.","MIA",1,1,46298,"03:53:00",30,24,17,7,233,82.5542857142857,"Hard Rock Stadium","Outdoor","9/9/2018 16:00","9/9/2018 13:00","9/9/2018 20:08",6.96,1
"19",2018090903,4,4143,"(:16) (Field Goal formation) R.Succop 53 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.","TEN",0,1,34707,"00:16:00",53,27,17,10,16,82.5542857142857,"Hard Rock Stadium","Outdoor","9/9/2018 16:00","9/9/2018 13:00","9/9/2018 20:08",6.96,1
"20",2018090905,1,848,"(2:37) K.Fairbairn 42 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.","HOU",0,1,43846,"02:37:00",42,7,0,7,2857,60.494,"Gillette Stadium","Outdoor","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 16:12",12.74,0
"21",2018090905,2,1378,"(9:03) K.Fairbairn 36 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.","HOU",0,1,43846,"09:03:00",36,14,3,11,2343,60.494,"Gillette Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:12",8.08,0
"22",2018090905,3,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.","NE",1,1,30932,"06:05:00",39,21,6,15,1265,60.494,"Gillette Stadium","Outdoor","9/9/2018 15:00","9/9/2018 13:00","9/9/2018 16:12",10.31,0
"23",2018090905,4,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.","NE",1,1,30932,"09:53:00",35,24,13,11,593,60.494,"Gillette Stadium","Outdoor","9/9/2018 16:00","9/9/2018 13:00","9/9/2018 16:12",10.31,0
"24",2018090906,2,1270,"(11:17) C.Catanzaro 33 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.","TB",0,1,41736,"11:17:00",33,17,14,3,2477,70,"Mercedes-Benz Superdome","Indoor","9/9/2018 13:00","9/9/2018 12:00","9/9/2018 15:13",0,0
"25",2018090906,3,2539,"(11:29) C.Catanzaro 36 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.","TB",0,1,41736,"11:29:00",36,24,31,-7,1589,70,"Mercedes-Benz Superdome","Indoor","9/9/2018 14:00","9/9/2018 12:00","9/9/2018 15:13",0,0
"26",2018090906,4,4096,"(4:57) C.Catanzaro 44 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Anger.","TB",0,0,41736,"04:57:00",44,32,48,-16,297,70,"Mercedes-Benz Superdome","Indoor","9/9/2018 15:00","9/9/2018 12:00","9/9/2018 15:13",0,0
"27",2018090907,1,801,"(:26) A.Rosas 27 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.","NYG",1,1,43937,"00:26:00",27,0,3,-3,2726,59.4628571428571,"MetLife Stadium","Outdoor","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 16:04",4.72,1
"28",2018090907,1,292,"(10:17) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.","JAX",0,1,43068,"10:17:00",39,0,0,0,3317,59.4628571428571,"MetLife Stadium","Outdoor","9/9/2018 13:00","9/9/2018 13:00","9/9/2018 16:04",4.72,1
"29",2018090907,2,1848,"(:07) A.Rosas 31 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.","NYG",1,1,43937,"00:07:00",31,3,13,-10,1807,59.4628571428571,"MetLife Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:04",5.84,1
"30",2018090907,2,1201,"(7:22) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.","JAX",0,1,43068,"07:22:00",39,3,3,0,2242,59.4628571428571,"MetLife Stadium","Outdoor","9/9/2018 14:00","9/9/2018 13:00","9/9/2018 16:04",5.84,1
"31",2018090907,3,2248,"(9:23) A.Rosas 44 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.","NYG",1,1,43937,"09:23:00",44,6,13,-7,1463,59.4628571428571,"MetLife Stadium","Outdoor","9/9/2018 15:00","9/9/2018 13:00","9/9/2018 16:04",4.72,1
"32",2018090909,4,3089,"(12:16) D.Hopkins 31 yard field goal is GOOD, Center-N.Sundberg, Holder-T.Way.","WAS",0,1,40125,"12:16:00",31,0,21,-21,736,103.505,"State Farm Stadium","Retractable","9/9/2018 16:00","9/9/2018 13:25","9/9/2018 16:22",11.43,0
"33",2018090910,2,2008,"(:07) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.","CAR",1,1,35102,"00:07:00",27,7,0,7,1807,75.2,"Bank of America Stadium","Outdoor","9/9/2018 17:00","9/9/2018 16:25","9/9/2018 19:27",9.2,0
"34",2018090910,3,2777,"(2:44) B.Maher 47 yard field goal is No Good, Wide Right, Center-L.Ladouceur, Holder-C.Jones.","DAL",0,0,40775,"02:44:00",47,10,0,10,1064,75.2,"Bank of America Stadium","Outdoor","9/9/2018 18:00","9/9/2018 16:25","9/9/2018 19:27",0,0
"35",2018090912,2,836,"(15:00) C.Parkey 26 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.","CHI",0,1,41688,"15:00:00",26,0,7,-7,2700,56.03,"Lambeau Field","Outdoor","9/9/2018 20:00","9/9/2018 19:20","9/9/2018 22:27",4.72,0
"36",2018090912,3,2143,"(9:18) C.Parkey 33 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.","CHI",0,1,41688,"09:18:00",33,0,17,-17,1458,56.03,"Lambeau Field","Outdoor","9/9/2018 21:00","9/9/2018 19:20","9/9/2018 22:27",4.72,0
"37",2018090912,4,3486,"(2:42) C.Parkey 32 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.","CHI",0,1,41688,"02:42:00",32,17,20,-3,162,56.03,"Lambeau Field","Outdoor","9/9/2018 22:00","9/9/2018 19:20","9/9/2018 22:27",4.72,0
"38",2018091000,2,1234,"(9:28) M.Prater 55 yard field goal is No Good, Short, Center-D.Muhlbach, Holder-S.Martin.","DET",1,0,31446,"09:28:00",55,7,10,-3,2368,70,"Ford Field","Indoor","9/10/2018 20:00","9/10/2018 19:10","9/10/2018 22:28",0,0
"39",2018091000,2,946,"(15:00) J.Myers 35 yard field goal is GOOD, Center-T.Hennessy, Holder-L.Edwards.","NYJ",0,1,41175,"15:00:00",35,7,7,0,2700,70,"Ford Field","Indoor","9/10/2018 20:00","9/10/2018 19:10","9/10/2018 22:28",0,0
"40",2018091000,2,2009,"(:15) M.Prater 21 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin.","DET",1,1,31446,"00:15:00",21,7,17,-10,1815,70,"Ford Field","Indoor","9/10/2018 20:00","9/10/2018 19:10","9/10/2018 22:28",0,0
"41",2018091000,3,3038,"(1:51) M.Prater 44 yard field goal is No Good, Wide Right, Center-D.Muhlbach, Holder-S.Martin.","DET",1,0,31446,"01:51:00",44,17,41,-24,1011,70,"Ford Field","Indoor","9/10/2018 21:00","9/10/2018 19:10","9/10/2018 22:28",0,0
"42",2018091000,3,2825,"(5:19) J.Myers 32 yard field goal is GOOD, Center-T.Hennessy, Holder-L.Edwards.","NYJ",0,1,41175,"05:19:00",32,17,38,-21,1219,70,"Ford Field","Indoor","9/10/2018 21:00","9/10/2018 19:10","9/10/2018 22:28",0,0
"43",2018091001,2,2144,"(:15) M.Nugent 48 yard field goal is GOOD, Center-L.Smith, Holder-J.Townsend.","OAK",1,1,29874,"00:15:00",48,10,10,0,1815,63.635,"Oakland Coliseum","Outdoor","9/10/2018 20:00","9/10/2018 19:20","9/10/2018 22:30",13.86,0
"44",2018091001,2,1331,"(9:30) G.Zuerlein 46 yard field goal is No Good, Wide Right, Center-J.McQuaide, Holder-J.Hekker.","LA",0,0,38701,"09:30:00",46,10,7,3,2370,63.635,"Oakland Coliseum","Outdoor","9/10/2018 20:00","9/10/2018 19:20","9/10/2018 22:30",13.86,0
"45",2018091001,2,1110,"(12:33) M.Nugent 24 yard field goal is GOOD, Center-L.Smith, Holder-J.Townsend.","OAK",1,1,29874,"12:33:00",24,7,7,0,2553,63.635,"Oakland Coliseum","Outdoor","9/10/2018 20:00","9/10/2018 19:20","9/10/2018 22:30",13.86,0
"46",2018091001,2,1746,"(2:43) G.Zuerlein 20 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker.","LA",0,1,38701,"02:43:00",20,10,7,3,1963,63.635,"Oakland Coliseum","Outdoor","9/10/2018 20:00","9/10/2018 19:20","9/10/2018 22:30",13.86,0
"47",2018091001,3,2438,"(9:07) G.Zuerlein 28 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker.","LA",0,1,38701,"09:07:00",28,13,10,3,1447,63.635,"Oakland Coliseum","Outdoor","9/10/2018 21:00","9/10/2018 19:20","9/10/2018 22:30",10.31,0
"48",2018091001,4,3870,"(3:18) G.Zuerlein 20 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker.","LA",0,1,38701,"03:18:00",20,13,23,-10,198,63.635,"Oakland Coliseum","Outdoor","9/10/2018 22:00","9/10/2018 19:20","9/10/2018 22:30",3.36,0
"49",2018091300,3,3081,"(12:35) J.Tucker 55 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.","BAL",0,1,39470,"12:35:00",55,28,14,14,1655,70.79,"Paul Brown Stadium","Outdoor","9/13/2018 22:00","9/13/2018 20:20","9/13/2018 23:46",0,0
"50",2018091300,4,4707,"(2:29) R.Bullock 40 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.","CIN",1,1,38691,"02:29:00",40,31,23,8,149,70.79,"Paul Brown Stadium","Outdoor","9/13/2018 23:00","9/13/2018 20:20","9/13/2018 23:46",0,0
"51",2018091300,4,4460,"(3:03) R.Bullock 28 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.","CIN",1,1,38691,"03:03:00",28,28,23,5,183,70.79,"Paul Brown Stadium","Outdoor","9/13/2018 23:00","9/13/2018 20:20","9/13/2018 23:46",0,0
"52",2018091600,1,460,"(5:46) M.Bryant 44 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher.","ATL",1,1,27091,"05:46:00",44,0,3,-3,3046,80,"Mercedes-Benz Stadium","Retractable","9/16/2018 13:00","9/16/2018 13:00","9/16/2018 16:08",13.86,0
"53",2018091601,2,1993,"(:52) S.Hauschka 41 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez.","BUF",1,1,33469,"00:52:00",41,3,28,-25,1852,86,"New Era Field","Outdoor","9/16/2018 14:00","9/16/2018 13:00","9/16/2018 16:07",5.84,0
"54",2018091601,4,3804,"(3:52) C.Sturgis 24 yard field goal is GOOD, Center-M.Windt, Holder-D.Kaser.","LAC",0,1,40114,"03:52:00",24,13,28,-15,232,86,"New Era Field","Outdoor","9/16/2018 16:00","9/16/2018 13:00","9/16/2018 16:07",6.96,0
"55",2018091602,2,1704,"(1:42) D.Carlson 48 yard field goal is No Good, Wide Right, Center-K.McDermott, Holder-M.Wile.","MIN",0,0,46236,"01:42:00",48,14,7,7,1902,81.5,"Lambeau Field","Outdoor","9/16/2018 13:00","9/16/2018 12:00","9/16/2018 15:37",8.08,0
"56",2018091602,2,1861,"(:02) M.Crosby 37 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.","GB",1,1,32386,"00:02:00",37,14,7,7,1802,81.5,"Lambeau Field","Outdoor","9/16/2018 13:00","9/16/2018 12:00","9/16/2018 15:37",8.08,0
"57",2018091602,3,2311,"(6:36) M.Crosby 40 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.","GB",1,1,32386,"06:36:00",40,17,7,10,1296,81.5,"Lambeau Field","Outdoor","9/16/2018 14:00","9/16/2018 12:00","9/16/2018 15:37",8.08,0
"58",2018091602,4,3648,"(1:49) M.Crosby 36 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott. Penalty on MIN-J.Johnson, Illegal Formation, declined.","GB",1,1,32386,"01:49:00",36,26,21,5,109,81.5,"Lambeau Field","Outdoor","9/16/2018 15:00","9/16/2018 12:00","9/16/2018 15:37",10.31,0
"59",2018091602,4,4088,"(:03) M.Crosby 52 yard field goal is No Good, Wide Left, Center-H.Bradley, Holder-J.Scott.","GB",1,0,32386,"00:03:00",52,29,29,0,3,81.5,"Lambeau Field","Outdoor","9/16/2018 15:00","9/16/2018 12:00","9/16/2018 15:37",10.31,0
"60",2018091602,4,3066,"(7:38) M.Crosby 31 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.","GB",1,1,32386,"07:38:00",31,20,14,6,458,81.5,"Lambeau Field","Outdoor","9/16/2018 15:00","9/16/2018 12:00","9/16/2018 15:37",10.31,0
"61",2018091602,4,3483,"(2:17) M.Crosby 48 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.","GB",1,1,32386,"02:17:00",48,23,21,2,137,81.5,"Lambeau Field","Outdoor","9/16/2018 15:00","9/16/2018 12:00","9/16/2018 15:37",10.31,0
"62",2018091602,5,4317,"(7:36) D.Carlson 49 yard field goal is No Good, Wide Right, Center-K.McDermott, Holder-M.Wile.","MIN",0,0,46236,"07:36:00",49,29,29,0,-456,81.5,"Lambeau Field","Outdoor","9/16/2018 16:00","9/16/2018 12:00","9/16/2018 15:37",8.08,0
"63",2018091602,5,4709,"(:04) D.Carlson 35 yard field goal is No Good, Wide Right, Center-K.McDermott, Holder-M.Wile.","MIN",0,0,46236,"00:04:00",35,29,29,0,-4,81.5,"Lambeau Field","Outdoor","9/16/2018 16:00","9/16/2018 12:00","9/16/2018 15:37",8.08,0
