"","gameId","playId","playDescription","quarter","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain"
"1",2018090905,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,"NE",1,1,30932,"06:05:00",39,21,6,15,1265
"2",2018090905,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,"NE",1,1,30932,"09:53:00",35,24,13,11,593
"3",2018091612,219,"(11:49) S.Gostkowski 54 yard field goal is No Good, Wide Right, Center-J.Cardona, Holder-R.Allen.",1,"NE",0,0,30932,"11:49:00",54,0,0,0,3409
"4",2018091612,1549,"(2:49) S.Gostkowski 29 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",2,"NE",0,1,30932,"02:49:00",29,14,0,14,1969
"5",2018091612,3040,"(14:16) S.Gostkowski 46 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,"NE",0,1,30932,"14:16:00",46,24,10,14,856
"6",2018092313,1678,"(:44) S.Gostkowski 36 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",2,"NE",0,1,30932,"00:44:00",36,13,0,13,1844
"7",2018093006,542,"(5:30) S.Gostkowski 20 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",1,"NE",1,1,30932,"05:30:00",20,0,0,0,3030
"8",2018100400,2330,"(:17) S.Gostkowski 45 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",2,"NE",1,1,30932,"00:17:00",45,21,3,18,1817
"9",2018101412,593,"(5:22) S.Gostkowski 48 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",1,"NE",1,1,30932,"05:22:00",48,0,3,-3,3022
"10",2018101412,2378,"(7:20) S.Gostkowski 24 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,"NE",1,1,30932,"07:20:00",24,24,16,8,1340
"11",2018101412,3176,"(10:25) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen. NE 3-Gostkowski 350th career FG, 19th all-time.",4,"NE",1,1,30932,"10:25:00",39,27,26,1,625
"12",2018101412,3738,"(3:19) S.Gostkowski 50 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen. NE 3-Gostkowski 400th career FGA, 30th all-time.",4,"NE",1,1,30932,"03:19:00",50,37,33,4,199
"13",2018101412,4018,"(:03) S.Gostkowski 28 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,"NE",1,1,30932,"00:03:00",28,40,40,0,3
"14",2018102102,2915,"(7:52) S.Gostkowski 29 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,"NE",0,1,30932,"07:52:00",29,24,21,3,1372
"15",2018102900,826,"(4:49) S.Gostkowski 25 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",1,"NE",0,1,30932,"04:49:00",25,0,0,0,2989
"16",2018102900,1420,"(11:51) S.Gostkowski 40 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",2,"NE",0,1,30932,"11:51:00",40,0,3,-3,2511
"17",2018102900,1804,"(5:46) S.Gostkowski 38 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",2,"NE",0,1,30932,"05:46:00",38,0,6,-6,2146
