"","gameId","playId","playDescription","quarter","possessionTeam","specialTeamsResult","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain","Result"
"1",2018090600,658,"(5:03) M.Bryant 21 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",1,"ATL","Kick Attempt Good",27091,"05:03:00",21,0,0,0,3003,1
"2",2018090600,1368,"(6:12) J.Elliott 26 yard field goal is GOOD, Center-R.Lovato, Holder-C.Johnston.",2,"PHI","Kick Attempt Good",44966,"06:12:00",26,0,3,-3,2172,1
"3",2018090600,1587,"(2:13) M.Bryant 52 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",2,"ATL","Kick Attempt Good",27091,"02:13:00",52,3,3,0,1933,1
"4",2018090900,1226,"(13:18) (Field Goal formation) J.Tucker 41 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,"BAL","Kick Attempt Good",39470,"13:18:00",41,14,0,14,2598,1
"5",2018090900,1613,"(8:48) (Field Goal formation) S.Hauschka 52 yard field goal is No Good, Short, Center-R.Ferguson, Holder-C.Bojorquez.",2,"BUF","Kick Attempt No Good",33469,"08:48:00",52,17,0,17,2328,0
"6",2018090900,1973,"(4:20) (Field Goal formation) J.Tucker 39 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,"BAL","Kick Attempt Good",39470,"04:20:00",39,17,0,17,2060,1
"7",2018090900,3461,"(2:42) (Field Goal formation) S.Hauschka 35 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez. Penalty on BAL-A.Levine, Defensive Offside, declined.",3,"BUF","Kick Attempt Good",33469,"02:42:00",35,40,0,40,1062,1
"8",2018090902,394,"(8:25) R.Bullock 42 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",1,"CIN","Kick Attempt Good",38691,"08:25:00",42,0,0,0,3205,1
"9",2018090902,757,"(1:27) A.Vinatieri 21 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",1,"IND","Kick Attempt Good",21213,"01:27:00",21,0,3,-3,2787,1
"10",2018090902,1574,"(3:06) A.Vinatieri 38 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,"IND","Kick Attempt Good",21213,"03:06:00",38,10,3,7,1986,1
"11",2018090902,2084,"(:06) A.Vinatieri 51 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,"IND","Kick Attempt Good",21213,"00:06:00",51,13,10,3,1806,1
"12",2018090902,3135,"(:17) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Rhodes, Holder-R.Sanchez.",3,"IND","Kick Attempt No Good",21213,"00:17:00",55,23,17,6,917,0
"13",2018090902,3873,"(4:01) R.Bullock 39 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",4,"CIN","Kick Attempt Good",38691,"04:01:00",39,23,24,-1,241,1
"14",2018090903,240,"(10:22) (Field Goal formation) R.Succop 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",1,"TEN","Kick Attempt Good",34707,"10:22:00",47,0,0,0,3322,1
"15",2018090903,2661,"(4:09) (Field Goal formation) J.Sanders 27 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",3,"MIA","Kick Attempt Good",46298,"04:09:00",27,7,3,4,1149,1
"16",2018090903,3690,"(3:53) (Field Goal formation) J.Sanders 30 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",4,"MIA","Kick Attempt Good",46298,"03:53:00",30,24,17,7,233,1
"17",2018090903,4143,"(:16) (Field Goal formation) R.Succop 53 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",4,"TEN","Kick Attempt Good",34707,"00:16:00",53,27,17,10,16,1
"18",2018090905,848,"(2:37) K.Fairbairn 42 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",1,"HOU","Kick Attempt Good",43846,"02:37:00",42,7,0,7,2857,1
"19",2018090905,1378,"(9:03) K.Fairbairn 36 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",2,"HOU","Kick Attempt Good",43846,"09:03:00",36,14,3,11,2343,1
"20",2018090905,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,"NE","Kick Attempt Good",30932,"06:05:00",39,21,6,15,1265,1
"21",2018090905,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,"NE","Kick Attempt Good",30932,"09:53:00",35,24,13,11,593,1
"22",2018090906,1270,"(11:17) C.Catanzaro 33 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",2,"TB","Kick Attempt Good",41736,"11:17:00",33,17,14,3,2477,1
"23",2018090906,2539,"(11:29) C.Catanzaro 36 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",3,"TB","Kick Attempt Good",41736,"11:29:00",36,24,31,-7,1589,1
"24",2018090906,4096,"(4:57) C.Catanzaro 44 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Anger.",4,"TB","Kick Attempt No Good",41736,"04:57:00",44,32,48,-16,297,0
