"","gameId","playId","possessionTeam","specialTeamsResult","kickerId","scoreDifference","secondsRemain"
"1",2018090600,658,"ATL","Kick Attempt Good",27091,0,3003
"2",2018090600,1368,"PHI","Kick Attempt Good",44966,-3,2172
"3",2018090600,1587,"ATL","Kick Attempt Good",27091,0,1933
"4",2018090900,1226,"BAL","Kick Attempt Good",39470,14,2598
"5",2018090900,1613,"BUF","Kick Attempt No Good",33469,17,2328
"6",2018090900,1973,"BAL","Kick Attempt Good",39470,17,2060
"7",2018090900,3461,"BUF","Kick Attempt Good",33469,40,1062
"8",2018090902,394,"CIN","Kick Attempt Good",38691,0,3205
"9",2018090902,757,"IND","Kick Attempt Good",21213,-3,2787
"10",2018090902,1574,"IND","Kick Attempt Good",21213,7,1986
"11",2018090902,2084,"IND","Kick Attempt Good",21213,3,1806
"12",2018090902,3135,"IND","Kick Attempt No Good",21213,6,917
"13",2018090902,3873,"CIN","Kick Attempt Good",38691,-1,241
"14",2018090903,240,"TEN","Kick Attempt Good",34707,0,3322
"15",2018090903,2661,"MIA","Kick Attempt Good",46298,4,1149
"16",2018090903,3690,"MIA","Kick Attempt Good",46298,7,233
"17",2018090903,4143,"TEN","Kick Attempt Good",34707,10,16
"18",2018090905,848,"HOU","Kick Attempt Good",43846,7,2857
"19",2018090905,1378,"HOU","Kick Attempt Good",43846,11,2343
"20",2018090905,2883,"NE","Kick Attempt Good",30932,15,1265
"21",2018090905,3505,"NE","Kick Attempt Good",30932,11,593
"22",2018090906,1270,"TB","Kick Attempt Good",41736,3,2477
"23",2018090906,2539,"TB","Kick Attempt Good",41736,-7,1589
"24",2018090906,4096,"TB","Kick Attempt No Good",41736,-16,297
"25",2018090907,292,"JAX","Kick Attempt Good",43068,0,3317
"26",2018090907,801,"NYG","Kick Attempt Good",43937,-3,2726
"27",2018090907,1201,"JAX","Kick Attempt Good",43068,0,2242
"28",2018090907,1848,"NYG","Kick Attempt Good",43937,-10,1807
"29",2018090907,2248,"NYG","Kick Attempt Good",43937,-7,1463
"30",2018090909,3089,"WAS","Kick Attempt Good",40125,-21,736
"31",2018090910,2008,"CAR","Kick Attempt Good",35102,7,1807
"32",2018090910,2777,"DAL","Kick Attempt No Good",40775,10,1064
"33",2018090912,836,"CHI","Kick Attempt Good",41688,-7,2700
"34",2018090912,2143,"CHI","Kick Attempt Good",41688,-17,1458
"35",2018090912,3486,"CHI","Kick Attempt Good",41688,-3,162
"36",2018091000,946,"NYJ","Kick Attempt Good",41175,0,2700
"37",2018091000,1234,"DET","Kick Attempt No Good",31446,-3,2368
"38",2018091000,2009,"DET","Kick Attempt Good",31446,-10,1815
"39",2018091000,2825,"NYJ","Kick Attempt Good",41175,-21,1219
"40",2018091000,3038,"DET","Kick Attempt No Good",31446,-24,1011
"41",2018091001,1110,"OAK","Kick Attempt Good",29874,0,2553
"42",2018091001,1331,"LA","Kick Attempt No Good",38701,3,2370
"43",2018091001,1746,"LA","Kick Attempt Good",38701,3,1963
"44",2018091001,2144,"OAK","Kick Attempt Good",29874,0,1815
"45",2018091001,2438,"LA","Kick Attempt Good",38701,3,1447
"46",2018091001,3870,"LA","Kick Attempt Good",38701,-10,198
"47",2018091300,3081,"BAL","Kick Attempt Good",39470,14,1655
"48",2018091300,4460,"CIN","Kick Attempt Good",38691,5,183
"49",2018091300,4707,"CIN","Kick Attempt Good",38691,8,149
"50",2018091600,460,"ATL","Kick Attempt Good",27091,-3,3046
"51",2018091601,1993,"BUF","Kick Attempt Good",33469,-25,1852
"52",2018091601,3804,"LAC","Kick Attempt Good",40114,-15,232
"53",2018091602,1704,"MIN","Kick Attempt No Good",46236,7,1902
"54",2018091602,1861,"GB","Kick Attempt Good",32386,7,1802
"55",2018091602,2311,"GB","Kick Attempt Good",32386,10,1296
"56",2018091602,3066,"GB","Kick Attempt Good",32386,6,458
"57",2018091602,3483,"GB","Kick Attempt Good",32386,2,137
"58",2018091602,3648,"GB","Kick Attempt Good",32386,5,109
"59",2018091602,4088,"GB","Kick Attempt No Good",32386,0,3
"60",2018091603,755,"NO","Kick Attempt Good",43689,-3,2872
"61",2018091603,1787,"CLE","Kick Attempt Good",45037,0,1920
"62",2018091603,2927,"CLE","Kick Attempt No Good",45037,-9,861
"63",2018091603,4023,"NO","Kick Attempt Good",43689,0,26
"64",2018091603,4131,"CLE","Kick Attempt No Good",45037,3,8
"65",2018091604,3196,"NYJ","Kick Attempt Good",41175,-14,611
"66",2018091604,3565,"NYJ","Kick Attempt Good",41175,-11,360
"67",2018091606,2205,"PHI","Kick Attempt No Good",44966,13,1807
"68",2018091607,597,"HOU","Kick Attempt No Good",43846,7,3016
"69",2018091607,2668,"HOU","Kick Attempt Good",43846,7,1064
"70",2018091607,3159,"TEN","Kick Attempt Good",34707,-3,588
"71",2018091607,3741,"TEN","Kick Attempt Good",34707,0,65
"72",2018091608,1147,"WAS","Kick Attempt Good",40125,-7,2476
"73",2018091608,2229,"WAS","Kick Attempt No Good",40125,-11,1805
"74",2018091608,2776,"WAS","Kick Attempt Good",40125,-11,1243
"75",2018091608,3144,"WAS","Kick Attempt Good",40125,-8,813
"76",2018091609,1322,"LA","Kick Attempt Good",38815,8,2291
"77",2018091610,473,"SF","Kick Attempt Good",30403,0,3082
"78",2018091610,1610,"SF","Kick Attempt Good",30403,3,2100
"79",2018091610,2252,"DET","Kick Attempt Good",31446,6,1806
"80",2018091610,2704,"DET","Kick Attempt Good",31446,10,1430
"81",2018091610,3534,"SF","Kick Attempt Good",30403,14,685
"82",2018091611,280,"OAK","Kick Attempt Good",29874,0,3276
"83",2018091611,1047,"OAK","Kick Attempt Good",29874,-3,2512
"84",2018091611,2727,"DEN","Kick Attempt Good",40276,-12,1067
"85",2018091611,4030,"DEN","Kick Attempt Good",40276,-2,10
"86",2018091612,219,"NE","Kick Attempt No Good",30932,0,3409
"87",2018091612,1549,"NE","Kick Attempt Good",30932,14,1969
"88",2018091612,2508,"JAX","Kick Attempt Good",43068,18,1374
"89",2018091612,3040,"NE","Kick Attempt Good",30932,14,856
"90",2018091613,473,"DAL","Kick Attempt Good",40775,7,3066
"91",2018091613,2116,"DAL","Kick Attempt Good",40775,10,1547
"92",2018091613,2438,"NYG","Kick Attempt Good",43937,13,1174
"93",2018091700,1854,"CHI","Kick Attempt Good",41688,7,1871
"94",2018091700,2113,"SEA","Kick Attempt Good",25326,10,1802
"95",2018092000,2037,"CLE","Kick Attempt Good",46634,-14,1827
"96",2018092000,2798,"CLE","Kick Attempt Good",46634,-11,1224
"97",2018092000,3508,"NYJ","Kick Attempt Good",41175,0,538
"98",2018092300,1308,"NO","Kick Attempt Good",43689,0,2383
"99",2018092300,1715,"NO","Kick Attempt Good",43689,-3,1989
"100",2018092300,2159,"NO","Kick Attempt Good",43689,1,1810
"101",2018092301,836,"BAL","Kick Attempt Good",39470,-7,2923
"102",2018092301,1721,"BAL","Blocked Kick Attempt",39470,3,2085
"103",2018092301,2352,"BAL","Kick Attempt Good",39470,3,1804
"104",2018092302,3292,"CIN","Kick Attempt No Good",38691,7,439
"105",2018092302,3722,"CAR","Kick Attempt Good",35102,7,76
"106",2018092303,340,"HOU","Kick Attempt Good",43846,0,3313
"107",2018092303,1060,"NYG","Kick Attempt Good",43937,-4,2513
"108",2018092303,1467,"NYG","Kick Attempt Good",43937,-7,2078
"109",2018092303,2001,"HOU","Kick Attempt Good",43846,-17,1804
"110",2018092303,2331,"HOU","Kick Attempt Good",43846,-14,1426
"111",2018092304,1326,"JAX","Kick Attempt Good",43068,-3,2339
"112",2018092304,1996,"TEN","Kick Attempt No Good",34707,0,1802
"113",2018092304,2328,"TEN","Kick Attempt Good",34707,0,1505
"114",2018092304,3131,"JAX","Kick Attempt Good",43068,-3,691
"115",2018092304,3429,"TEN","Kick Attempt Good",34707,0,253
"116",2018092305,2533,"SF","Kick Attempt Good",30403,28,1804
"117",2018092305,3776,"KC","Kick Attempt Good",45046,11,831
"118",2018092305,4231,"SF","Kick Attempt Good",30403,14,321
"119",2018092306,1591,"OAK","Kick Attempt Good",29874,0,2015
"120",2018092306,3794,"OAK","Kick Attempt Good",29874,11,25
"121",2018092307,518,"BUF","Kick Attempt Good",33469,-7,3147
"122",2018092307,1599,"BUF","Kick Attempt Good",33469,-24,2181
"123",2018092308,786,"PHI","Kick Attempt No Good",44966,7,2841
"124",2018092308,1666,"PHI","Kick Attempt Good",44966,0,1989
"125",2018092308,2332,"IND","Kick Attempt Good",21213,3,1484
"126",2018092308,2493,"IND","Kick Attempt Good",21213,0,1406
"127",2018092308,2795,"PHI","Kick Attempt Good",44966,-3,1073
"128",2018092308,3154,"IND","Kick Attempt Good",21213,0,862
"129",2018092309,1145,"GB","Kick Attempt Good",32386,14,2576
"130",2018092309,2100,"GB","Non-Special Teams Result",NA,18,1803
"131",2018092309,4045,"WAS","Kick Attempt Good",40125,11,120
"132",2018092310,2170,"LA","Kick Attempt No Good",44240,8,1804
"133",2018092310,3313,"LAC","Kick Attempt Good",40114,15,714
"134",2018092311,460,"CHI","Kick Attempt No Good",41688,7,2999
"135",2018092311,1704,"CHI","Kick Attempt Good",41688,14,1917
"136",2018092311,2936,"CHI","Kick Attempt Good",41688,4,949
"137",2018092311,3498,"CHI","Kick Attempt Good",41688,1,274
"138",2018092312,1669,"DAL","Kick Attempt Good",40775,7,2130
"139",2018092312,2235,"SEA","Kick Attempt Good",25326,11,1804
"140",2018092312,2831,"DAL","Kick Attempt Good",40775,14,1128
"141",2018092313,422,"DET","Kick Attempt Good",31446,0,3060
"142",2018092313,1380,"DET","Kick Attempt Good",31446,10,2102
"143",2018092313,1678,"NE","Kick Attempt Good",30932,13,1844
"144",2018092313,2836,"DET","Kick Attempt Good",31446,10,768
"145",2018092313,3625,"DET","Kick Attempt Good",31446,13,120
"146",2018092400,1070,"PIT","Kick Attempt Good",41953,1,2539
"147",2018092400,1973,"TB","Kick Attempt Good",41736,-16,1877
"148",2018092400,2779,"TB","Kick Attempt Good",41736,-20,1330
"149",2018092400,3064,"PIT","Kick Attempt No Good",41953,-17,971
"150",2018092700,1089,"MIN","Kick Attempt Good",38134,0,2410
"151",2018092700,2363,"MIN","Kick Attempt Good",38134,11,1806
"152",2018092700,2967,"LA","Kick Attempt Good",44240,8,1226
"153",2018092700,3713,"LA","Kick Attempt No Good",44240,10,505
"154",2018092700,3925,"MIN","Kick Attempt Good",38134,10,230
"155",2018093000,2144,"ATL","Kick Attempt Good",27091,-7,1802
"156",2018093000,2376,"ATL","Kick Attempt Good",27091,-4,1585
"157",2018093000,3617,"CIN","Kick Attempt Good",38691,5,503
"158",2018093000,3990,"ATL","Kick Attempt Good",27091,2,258
"159",2018093001,1050,"TB","Kick Attempt Good",41736,14,2700
"160",2018093001,2426,"CHI","Kick Attempt Good",41688,32,1803
"161",2018093001,3732,"CHI","Kick Attempt Good",41688,35,388
"162",2018093002,581,"DAL","Kick Attempt Good",40775,0,2974
"163",2018093002,1226,"DAL","Kick Attempt Good",40775,-4,2466
"164",2018093002,1640,"DET","Kick Attempt Good",31446,-1,1974
"165",2018093002,3319,"DAL","Kick Attempt Good",40775,3,352
"166",2018093002,3786,"DAL","Kick Attempt Good",40775,-1,3
"167",2018093003,2000,"GB","Kick Attempt Good",32386,13,1803
"168",2018093003,2256,"GB","Kick Attempt Good",32386,16,1577
"169",2018093003,3781,"GB","Kick Attempt Good",32386,19,120
"170",2018093004,2357,"IND","Kick Attempt Good",21213,-14,1806
"171",2018093004,4233,"HOU","Kick Attempt Good",43846,-5,182
"172",2018093004,4658,"HOU","Kick Attempt No Good",43846,0,6
"173",2018093005,615,"JAX","Kick Attempt Good",43068,0,2925
"174",2018093005,1022,"JAX","Kick Attempt Good",43068,3,2368
"175",2018093005,1796,"JAX","Kick Attempt Good",43068,13,1834
"176",2018093005,2725,"NYJ","Kick Attempt Good",41175,18,1198
"177",2018093005,3356,"NYJ","Kick Attempt Good",41175,22,776
"178",2018093006,542,"NE","Kick Attempt Good",30932,0,3030
"179",2018093007,220,"TEN","Kick Attempt Good",34707,0,3386
"180",2018093007,1946,"PHI","Kick Attempt Good",44966,-4,1803
"181",2018093007,3009,"TEN","Kick Attempt Good",34707,-7,562
"182",2018093007,3718,"PHI","Kick Attempt Good",44966,3,21
"183",2018093008,705,"SEA","Kick Attempt No Good",25326,-7,2979
"184",2018093008,1067,"ARI","Kick Attempt Good",23860,-7,2648
"185",2018093008,1532,"SEA","Kick Attempt No Good",25326,-4,2129
"186",2018093008,2251,"ARI","Kick Attempt No Good",23860,3,1802
