"","gameId","playId","possessionTeam","Home","Result","kickerId","kickLength","scoreDifference","secondsRemain"
"1",2018090600,658,"ATL",0,1,27091,21,0,3003
"2",2018090600,1368,"PHI",1,1,44966,26,-3,2172
"3",2018090600,1587,"ATL",0,1,27091,52,0,1933
"4",2018090900,1226,"BAL",1,1,39470,41,14,2598
"5",2018090900,1613,"BUF",0,0,33469,52,17,2328
"6",2018090900,1973,"BAL",1,1,39470,39,17,2060
"7",2018090900,3461,"BUF",0,1,33469,35,40,1062
"8",2018090902,394,"CIN",0,1,38691,42,0,3205
"9",2018090902,757,"IND",1,1,21213,21,-3,2787
"10",2018090902,1574,"IND",1,1,21213,38,7,1986
"11",2018090902,2084,"IND",1,1,21213,51,3,1806
"12",2018090902,3135,"IND",1,0,21213,55,6,917
"13",2018090902,3873,"CIN",0,1,38691,39,-1,241
"14",2018090903,240,"TEN",0,1,34707,47,0,3322
"15",2018090903,2661,"MIA",1,1,46298,27,4,1149
"16",2018090903,3690,"MIA",1,1,46298,30,7,233
"17",2018090903,4143,"TEN",0,1,34707,53,10,16
"18",2018090905,848,"HOU",0,1,43846,42,7,2857
"19",2018090905,1378,"HOU",0,1,43846,36,11,2343
"20",2018090905,2883,"NE",1,1,30932,39,15,1265
"21",2018090905,3505,"NE",1,1,30932,35,11,593
"22",2018090906,1270,"TB",0,1,41736,33,3,2477
"23",2018090906,2539,"TB",0,1,41736,36,-7,1589
"24",2018090906,4096,"TB",0,0,41736,44,-16,297
"25",2018090907,292,"JAX",0,1,43068,39,0,3317
"26",2018090907,801,"NYG",1,1,43937,27,-3,2726
"27",2018090907,1201,"JAX",0,1,43068,39,0,2242
"28",2018090907,1848,"NYG",1,1,43937,31,-10,1807
"29",2018090907,2248,"NYG",1,1,43937,44,-7,1463
"30",2018090909,3089,"WAS",0,1,40125,31,-21,736
"31",2018090910,2008,"CAR",1,1,35102,27,7,1807
"32",2018090910,2777,"DAL",0,0,40775,47,10,1064
"33",2018090912,836,"CHI",0,1,41688,26,-7,2700
"34",2018090912,2143,"CHI",0,1,41688,33,-17,1458
"35",2018090912,3486,"CHI",0,1,41688,32,-3,162
"36",2018091000,946,"NYJ",0,1,41175,35,0,2700
"37",2018091000,1234,"DET",1,0,31446,55,-3,2368
"38",2018091000,2009,"DET",1,1,31446,21,-10,1815
"39",2018091000,2825,"NYJ",0,1,41175,32,-21,1219
"40",2018091000,3038,"DET",1,0,31446,44,-24,1011
"41",2018091001,1110,"OAK",1,1,29874,24,0,2553
"42",2018091001,1331,"LA",0,0,38701,46,3,2370
"43",2018091001,1746,"LA",0,1,38701,20,3,1963
"44",2018091001,2144,"OAK",1,1,29874,48,0,1815
"45",2018091001,2438,"LA",0,1,38701,28,3,1447
"46",2018091001,3870,"LA",0,1,38701,20,-10,198
"47",2018091300,3081,"BAL",0,1,39470,55,14,1655
"48",2018091300,4460,"CIN",1,1,38691,28,5,183
"49",2018091300,4707,"CIN",1,1,38691,40,8,149
"50",2018091600,460,"ATL",1,1,27091,44,-3,3046
"51",2018091601,1993,"BUF",1,1,33469,41,-25,1852
"52",2018091601,3804,"LAC",0,1,40114,24,-15,232
"53",2018091602,1704,"MIN",0,0,46236,48,7,1902
"54",2018091602,1861,"GB",1,1,32386,37,7,1802
"55",2018091602,2311,"GB",1,1,32386,40,10,1296
"56",2018091602,3066,"GB",1,1,32386,31,6,458
"57",2018091602,3483,"GB",1,1,32386,48,2,137
"58",2018091602,3648,"GB",1,1,32386,36,5,109
"59",2018091602,4088,"GB",1,0,32386,52,0,3
"60",2018091603,755,"NO",1,1,43689,31,-3,2872
"61",2018091603,1787,"CLE",0,1,45037,39,0,1920
"62",2018091603,2927,"CLE",0,0,45037,44,-9,861
"63",2018091603,4023,"NO",1,1,43689,44,0,26
"64",2018091603,4131,"CLE",0,0,45037,52,3,8
"65",2018091604,3196,"NYJ",1,1,41175,55,-14,611
"66",2018091604,3565,"NYJ",1,1,41175,41,-11,360
"67",2018091606,2205,"PHI",0,0,44966,42,13,1807
"68",2018091607,597,"HOU",0,0,43846,54,7,3016
"69",2018091607,2668,"HOU",0,1,43846,34,7,1064
"70",2018091607,3159,"TEN",1,1,34707,42,-3,588
"71",2018091607,3741,"TEN",1,1,34707,31,0,65
"72",2018091608,1147,"WAS",1,1,40125,49,-7,2476
"73",2018091608,2229,"WAS",1,0,40125,49,-11,1805
"74",2018091608,2776,"WAS",1,1,40125,27,-11,1243
"75",2018091608,3144,"WAS",1,1,40125,49,-8,813
"76",2018091609,1322,"LA",1,1,38815,20,8,2291
"77",2018091610,473,"SF",1,1,30403,45,0,3082
"78",2018091610,1610,"SF",1,1,30403,42,3,2100
"79",2018091610,2252,"DET",0,1,31446,27,6,1806
"80",2018091610,2704,"DET",0,1,31446,43,10,1430
"81",2018091610,3534,"SF",1,1,30403,36,14,685
"82",2018091611,280,"OAK",0,1,29874,26,0,3276
"83",2018091611,1047,"OAK",0,1,29874,46,-3,2512
"84",2018091611,2727,"DEN",1,1,40276,39,-12,1067
"85",2018091611,4030,"DEN",1,1,40276,36,-2,10
"86",2018091612,219,"NE",0,0,30932,54,0,3409
"87",2018091612,1549,"NE",0,1,30932,29,14,1969
"88",2018091612,2508,"JAX",1,1,43068,28,18,1374
"89",2018091612,3040,"NE",0,1,30932,46,14,856
