"","gameId","playId","playDescription","quarter","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain","average_temperature"
"1",2018090600,1587,"(2:13) M.Bryant 52 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",2,"ATL",0,1,27091,"02:13:00",52,3,3,0,1933,79.52
"2",2018090600,658,"(5:03) M.Bryant 21 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",1,"ATL",0,1,27091,"05:03:00",21,0,0,0,3003,79.52
"3",2018090600,1368,"(6:12) J.Elliott 26 yard field goal is GOOD, Center-R.Lovato, Holder-C.Johnston.",2,"PHI",1,1,44966,"06:12:00",26,0,3,-3,2172,79.52
"4",2018090900,1613,"(8:48) (Field Goal formation) S.Hauschka 52 yard field goal is No Good, Short, Center-R.Ferguson, Holder-C.Bojorquez.",2,"BUF",0,0,33469,"08:48:00",52,17,0,17,2328,62.96
"5",2018090900,1973,"(4:20) (Field Goal formation) J.Tucker 39 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,"BAL",1,1,39470,"04:20:00",39,17,0,17,2060,62.96
"6",2018090900,1226,"(13:18) (Field Goal formation) J.Tucker 41 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,"BAL",1,1,39470,"13:18:00",41,14,0,14,2598,62.96
"7",2018090900,3461,"(2:42) (Field Goal formation) S.Hauschka 35 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez. Penalty on BAL-A.Levine, Defensive Offside, declined.",3,"BUF",0,1,33469,"02:42:00",35,40,0,40,1062,62.96
"8",2018090901,5480,"(:13) Z.Gonzalez 43 yard field goal is BLOCKED (T.Watt), Center-C.Hughlett, Holder-B.Colquitt.",5,"CLE",1,0,45037,"00:13:00",NA,21,21,0,-13,60.68
"9",2018090901,5191,"(1:47) C.Boswell 42 yard field goal is No Good, Wide Left, Center-K.Canaday, Holder-J.Berry.",5,"PIT",0,0,41953,"01:47:00",42,21,21,0,-107,60.68
"10",2018090902,3135,"(:17) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Rhodes, Holder-R.Sanchez.",3,"IND",1,0,21213,"00:17:00",55,23,17,6,917,59.84
"11",2018090902,757,"(1:27) A.Vinatieri 21 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",1,"IND",1,1,21213,"01:27:00",21,0,3,-3,2787,59.84
"12",2018090902,3873,"(4:01) R.Bullock 39 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",4,"CIN",0,1,38691,"04:01:00",39,23,24,-1,241,59.84
"13",2018090902,2084,"(:06) A.Vinatieri 51 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,"IND",1,1,21213,"00:06:00",51,13,10,3,1806,59.84
"14",2018090902,1574,"(3:06) A.Vinatieri 38 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,"IND",1,1,21213,"03:06:00",38,10,3,7,1986,59.84
"15",2018090902,394,"(8:25) R.Bullock 42 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",1,"CIN",0,1,38691,"08:25:00",42,0,0,0,3205,59.84
"16",2018090903,2661,"(4:09) (Field Goal formation) J.Sanders 27 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",3,"MIA",1,1,46298,"04:09:00",27,7,3,4,1149,82.5542857142857
"17",2018090903,3690,"(3:53) (Field Goal formation) J.Sanders 30 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",4,"MIA",1,1,46298,"03:53:00",30,24,17,7,233,82.5542857142857
"18",2018090903,240,"(10:22) (Field Goal formation) R.Succop 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",1,"TEN",0,1,34707,"10:22:00",47,0,0,0,3322,82.5542857142857
"19",2018090903,4143,"(:16) (Field Goal formation) R.Succop 53 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",4,"TEN",0,1,34707,"00:16:00",53,27,17,10,16,82.5542857142857
"20",2018090905,848,"(2:37) K.Fairbairn 42 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",1,"HOU",0,1,43846,"02:37:00",42,7,0,7,2857,60.494
"21",2018090905,1378,"(9:03) K.Fairbairn 36 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",2,"HOU",0,1,43846,"09:03:00",36,14,3,11,2343,60.494
"22",2018090905,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,"NE",1,1,30932,"06:05:00",39,21,6,15,1265,60.494
"23",2018090905,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,"NE",1,1,30932,"09:53:00",35,24,13,11,593,60.494
"24",2018090906,2539,"(11:29) C.Catanzaro 36 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",3,"TB",0,1,41736,"11:29:00",36,24,31,-7,1589,70
"25",2018090906,4096,"(4:57) C.Catanzaro 44 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Anger.",4,"TB",0,0,41736,"04:57:00",44,32,48,-16,297,70
"26",2018090906,1270,"(11:17) C.Catanzaro 33 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",2,"TB",0,1,41736,"11:17:00",33,17,14,3,2477,70
"27",2018090907,1201,"(7:22) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",2,"JAX",0,1,43068,"07:22:00",39,3,3,0,2242,59.4628571428571
"28",2018090907,801,"(:26) A.Rosas 27 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",1,"NYG",1,1,43937,"00:26:00",27,0,3,-3,2726,59.4628571428571
"29",2018090907,2248,"(9:23) A.Rosas 44 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",3,"NYG",1,1,43937,"09:23:00",44,6,13,-7,1463,59.4628571428571
"30",2018090907,292,"(10:17) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",1,"JAX",0,1,43068,"10:17:00",39,0,0,0,3317,59.4628571428571
"31",2018090907,1848,"(:07) A.Rosas 31 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",2,"NYG",1,1,43937,"00:07:00",31,3,13,-10,1807,59.4628571428571
"32",2018090909,3089,"(12:16) D.Hopkins 31 yard field goal is GOOD, Center-N.Sundberg, Holder-T.Way.",4,"WAS",0,1,40125,"12:16:00",31,0,21,-21,736,103.505
"33",2018090910,2008,"(:07) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"00:07:00",27,7,0,7,1807,75.2
